From,To,Type,Label,Strength,Date,Notes
Dov Moran,M-Systems,Founded,"Founder & CEO",Strong,1989-01-01,"Invented USB Flash Drive - $1.6B exit to SanDisk"
Dov Moran,Modu,Founded,"Founder & CEO",Strong,2007-01-01,"Modular phone vision - patents to Google"
Dov Moran,Grove Ventures,Founded,"Managing Partner",Strong,2015-01-01,"Deep tech VC"
Gil Shwed,Check Point,Founded,"Founder & CEO",Strong,1993-01-01,"Invented firewall - Israel Prize laureate"
Gil Shwed,Check Point,Works At,"Executive Chairman",Strong,2024-12-01,"Transitioned from CEO"
Shlomo Kramer,Check Point,Founded,"Co-Founder & VP Engineering",Strong,1993-01-01,"Invented firewall"
Shlomo Kramer,Imperva,Founded,"Founder & CEO",Strong,2002-01-01,"$2.1B exit to Thoma Bravo"
Shlomo Kramer,Cato Networks,Founded,"Founder & CEO",Strong,2015-01-01,"Created SASE category - $773M raised"
Nir Zuk,Check Point,Worked At,"Engineer",Medium,1994-01-01,"Stateful inspection patent"
Nir Zuk,Palo Alto Networks,Founded,"Founder & CTO",Strong,2005-01-01,"Built $100B+ company"
Assaf Rappaport,Adallom,Founded,"Co-Founder & CEO",Strong,2012-01-01,"$320M exit to Microsoft"
Assaf Rappaport,Wiz,Founded,"Co-Founder & CEO",Strong,2020-01-01,"$32B exit to Google"
Assaf Rappaport,Microsoft,Worked At,"GM Security",Medium,2015-07-01,"Post-Adallom acquisition"
Ami Luttwak,Adallom,Founded,"Co-Founder & CTO",Strong,2012-01-01,
Ami Luttwak,Wiz,Founded,"Co-Founder & CTO",Strong,2020-01-01,
Ami Luttwak,Microsoft,Worked At,"CTO Security",Medium,2015-07-01,
Roy Reznik,Adallom,Founded,"Co-Founder",Strong,2012-01-01,
Roy Reznik,Wiz,Founded,"Co-Founder & VP R&D",Strong,2020-01-01,
Roy Reznik,Microsoft,Worked At,"Engineering Lead",Medium,2015-07-01,
Yinon Costica,Adallom,Founded,"Co-Founder",Strong,2012-01-01,
Yinon Costica,Wiz,Founded,"Co-Founder & VP Product",Strong,2020-01-01,
Yinon Costica,Microsoft,Worked At,"Product Lead",Medium,2015-07-01,
Uri Levine,Waze,Founded,"Co-Founder",Strong,2006-01-01,"$1.3B exit to Google"
Uri Levine,Pontera,Works At,"Chairman",Strong,2012-01-01,"Fintech"
Ehud Shabtai,Waze,Founded,"Co-Founder & CTO",Strong,2006-01-01,"Technical co-founder"
Eli Ben-Sasson,StarkWare,Founded,"Co-Founder & President",Strong,2018-01-01,"$8B valuation - invented STARKs"
Eli Ben-Sasson,Technion,Works At,"Professor",Strong,2001-01-01,"Cryptography research"
Uri Kolodny,StarkWare,Founded,"Co-Founder & CEO",Strong,2018-01-01,
